--- Most to Least Appearances ---
Kakuna - 51 games total
Nidoqueen - 51 games total
Nidoking - 51 games total
Dunsparce - 51 games total
Snubbull - 51 games total
Shuckle - 51 games total
Slugma - 51 games total
Remoraid - 51 games total
Hitmontop - 51 games total
Minun - 51 games total
Spheal - 51 games total
Gabite - 51 games total
Rhyperior - 51 games total
Electivire - 51 games total
Kabutops - 50 games total
Hoppip - 50 games total
Sunflora - 50 games total
Yanma - 50 games total
Girafarig - 50 games total
Teddiursa - 50 games total
Tyrogue - 50 games total
Seedot - 50 games total
Aron - 50 games total
Medicham - 50 games total
Rotom - 50 games total
Darkrai - 50 games total
Chandelure - 50 games total
Weedle - 49 games total
Nidorina - 49 games total
Sunkern - 49 games total
Houndour - 49 games total
Donphan - 49 games total
Hariyama - 49 games total
Azurill - 49 games total
Lairon - 49 games total
Roselia - 49 games total
Camerupt - 49 games total
Torkoal - 49 games total
Cacnea - 49 games total
Whiscash - 49 games total
Chimchar - 49 games total
Magmortar - 49 games total
Snivy - 49 games total
Granbull - 48 games total
Smoochum - 48 games total
Taillow - 48 games total
Swellow - 48 games total
Nosepass - 48 games total
Meditite - 48 games total
Gulpin - 48 games total
Wailmer - 48 games total
Vibrava - 48 games total
Solrock - 48 games total
Barboach - 48 games total
Shuppet - 48 games total
Dusclops - 48 games total
Tropius - 48 games total
Deoxys - 48 games total
Empoleon - 48 games total
Drifblim - 48 games total
Mismagius - 48 games total
Gible - 48 games total
Togekiss - 48 games total
Gallade - 48 games total
Froslass - 48 games total
Nidorino - 47 games total
Gligar - 47 games total
Miltank - 47 games total
Lombre - 47 games total
Shiftry - 47 games total
Carvanha - 47 games total
Luxray - 47 games total
Palkia - 47 games total
Sylveon - 47 games total
ledyba - 46 games total
Poochyena - 46 games total
Nuzleaf - 46 games total
Wailord - 46 games total
Cacturne - 46 games total
Walrein - 46 games total
Infernape - 46 games total
Combee - 46 games total
Drifloon - 46 games total
Bronzong - 46 games total
Mamoswine - 46 games total
Furret - 45 games total
Ledian - 45 games total
Ursaring - 45 games total
Surskit - 45 games total
Slaking - 45 games total
Electrike - 45 games total
Spoink - 45 games total
Sealeo - 45 games total
Prinplup - 45 games total
Happiny - 45 games total
Dusknoir - 45 games total
Dialga - 45 games total
Oshawott - 45 games total
Skiploom - 44 games total
Jumpluff - 44 games total
Mightyena - 44 games total
Masquerain - 44 games total
Breloom - 44 games total
Zangoose - 44 games total
Seviper - 44 games total
Lunatone - 44 games total
Claydol - 44 games total
Luvdisc - 44 games total
Regice - 44 games total
Registeel - 44 games total
Bonsly - 44 games total
Axew - 44 games total
Sentret - 43 games total
Zigzagoon - 43 games total
Shroomish - 43 games total
Slakoth - 43 games total
Swalot - 43 games total
Chimecho - 43 games total
Regirock - 43 games total
Turtwig - 43 games total
Shinx - 43 games total
Tepig - 43 games total
Greninja - 43 games total
Stantler - 42 games total
Numel - 42 games total
Grumpig - 42 games total
Baltoy - 42 games total
Relicanth - 42 games total
Monferno - 42 games total
Vespiquen - 42 games total
Pachirisu - 42 games total
Hippowdon - 42 games total
Abomasnow - 42 games total
Giratina - 42 games total
Litwick - 42 games total
Reshiram - 42 games total
Vigoroth - 41 games total
Skitty - 41 games total
Illumise - 41 games total
Spinda - 41 games total
Cradily - 41 games total
Kecleon - 41 games total
Torterra - 41 games total
Honchkrow - 41 games total
Bronzor - 41 games total
Mime Jr. - 41 games total
Porygon-Z - 41 games total
Cresselia - 41 games total
Audino - 41 games total
Loudred - 40 games total
Volbeat - 40 games total
Armaldo - 40 games total
Budew - 40 games total
Roserade - 40 games total
Spiritomb - 40 games total
Probopass - 40 games total
Victini - 40 games total
Whimsicott - 40 games total
Minccino - 40 games total
Emolga - 40 games total
Linoone - 39 games total
Ninjask - 39 games total
Wynaut - 39 games total
Shaymin - 39 games total
Serperior - 39 games total
Haxorus - 39 games total
Volcarona - 39 games total
Fennekin - 39 games total
Whismur - 38 games total
Delcatty - 38 games total
Lileep - 38 games total
Grotle - 38 games total
Bastiodon - 38 games total
Hippopotas - 38 games total
Toxicroak - 38 games total
Excadrill - 38 games total
Scraggy - 38 games total
Trubbish - 38 games total
Garbodor - 38 games total
Zoroark - 38 games total
Lampent - 38 games total
Fraxure - 38 games total
Dedenne - 38 games total
Wurmple - 37 games total
Nincada - 37 games total
Anorith - 37 games total
Gorebyss - 37 games total
Luxio - 37 games total
Gastrodon - 37 games total
Chatot - 37 games total
Regigigas - 37 games total
Drilbur - 37 games total
Hydreigon - 37 games total
Unown - 36 games total
Shedinja - 36 games total
Huntail - 36 games total
Rampardos - 36 games total
Buizel - 36 games total
Buneary - 36 games total
Lopunny - 36 games total
Skorupi - 36 games total
Drapion - 36 games total
Tangrowth - 36 games total
Manaphy - 36 games total
Emboar - 36 games total
Samurott - 36 games total
Sandile - 36 games total
Krookodile - 36 games total
Zekrom - 36 games total
Exploud - 35 games total
Staraptor - 35 games total
Cranidos - 35 games total
Snover - 35 games total
Heatran - 35 games total
Conkeldurr - 35 games total
Krokorok - 35 games total
